X0,X0.136206127766765,X0.1,X0.2,X0.136206127766765.1,X0.3,X0.136206127766765.2,X0.4,X0.5,X0.136206127766765.3,X0.6,X0.7,X0.8,X0.9,X0.136206127766765.4,X0.136206127766765.5,X0.10,X0.136206127766765.6,X0.11,X0.12,X0.00557499584418132,X0.0083216756528906,X0.00422806319387356,X0.00594405403864815,X0.00381910538666615,X0.00445429951545035,X0.0035200240780258,X0.00499300539159084,X0.00302679206321839,X0.0020234723814258,X9.79481577341979e.05,X0.000553669928941901
0,0.136206127766765,0,0,0.136206127766765,0,0.136206127766765,0,0,0.136206127766765,0,0,0,0,0.136206127766765,0.136206127766765,0,0.136206127766765,0,0,0.00557499584418132,0.0083216756528906,0.00422806319387356,0.00594405403864815,0.00381910538666615,0.00445429951545035,0.0035200240780258,0.00499300539159084,0.00302679206321839,0.0020234723814258,0.0000979481577341979,0.000553669928941901
0.133061266311754,0.133061266311754,0.133061266311754,0.266122532623509,0,0,0,0,0,0,0,0,0,0,0,0.133061266311754,0,0.133061266311754,0,0,0.00165026286665928,0.0182813055700314,0.0016479891251476,0.0119417288805732,0.00204826242530535,0.0116314908208663,0.000993909394150307,0.0113943454975599,0.000597520402958729,0.00582143040113926,0.000587762261268489,0.00197512817205894
0,0.269751308102922,0.134875654051461,0.134875654051461,0,0,0.134875654051461,0,0,0,0,0.134875654051461,0,0,0,0,0,0.134875654051461,0,0,0.00279584890709655,0.0149611214413154,0.00255423470585363,0.0096415018339443,0.00234709566341702,0.00752748401313699,0.000824042710103388,0.00671085407628101,0.000865240044626506,0.00505783702692979,0.000583100726994952,0.00200206049007354
0.136325048941944,0.272650097883888,0,0.136325048941944,0,0,0.136325048941944,0,0,0,0,0.136325048941944,0,0,0,0,0,0.136325048941944,0,0,0.00339759488119653,0.00922257594418375,0.00291606510747495,0.00731049731462538,0.00252810411054295,0.00621051126314595,0.000988684191789983,0.00538510569316168,0.000637704215648632,0.00376092054022021,0.000278279754561688,0.0030886143898411
0.270335859604957,0.135167929802478,0,0,0,0,0.135167929802478,0,0,0,0,0,0.135167929802478,0,0.135167929802478,0,0,0.135167929802478,0,0,0.00506660792439985,0.0107183944355685,0.00442988950281602,0.00961124500846838,0.00316328564131096,0.00593009692089316,0.00318753791447647,0.00551594713547276,0.00191968294395331,0.00253604868352011,0.000358105992652049,0.00138764927911981
0.271608406304302,0.135804203152151,0,0,0,0.135804203152151,0,0.135804203152151,0.135804203152151,0,0,0.135804203152151,0,0,0,0,0,0,0,0,0.003289565532463,0.0113590136742214,0.00275282709834703,0.0072842244720607,0.00373483314205962,0.00603426879358725,0.00141741104457293,0.00622325413518338,0.000713685170897673,0.00480752184016522,0.000359791697980343,0.00139418133340434
0.13418860919884,0.13418860919884,0,0,0,0.13418860919884,0,0,0.26837721839768,0.13418860919884,0.13418860919884,0,0,0,0,0,0,0,0,0,0.00555461541965494,0.0124491385495197,0.00480470698790538,0.00819513686334335,0.00360240762328992,0.00720739600195228,0.00223415196508263,0.00863904693528568,0.00175797109809066,0.0052417425483051,0.000102325382361966,0.000891096233329901
0,0.130714419451199,0.130714419451199,0.130714419451199,0,0,0,0.130714419451199,0.130714419451199,0.130714419451199,0,0,0,0,0.130714419451199,0,0,0,0,0,0.00412869567367096,0.0212410931608199,0.00479869432384774,0.0147053721882599,0.00448914917778885,0.0142968896274749,0.00307841997160032,0.00980358145883995,0.00161966752663605,0.00326786048627998,0.0031611576856008,0.000408482560784998
0.269890617890445,0.134945308945222,0.269890617890445,0,0,0,0.134945308945222,0,0,0.134945308945222,0,0,0,0,0,0,0,0,0,0,0.00352058811629087,0.0136263134222327,0.00303048058993925,0.0089908629903082,0.00226635097667598,0.00749842585798014,0.00130333436488223,0.00612953484553901,0.000945818170884266,0.00474417101735818,0.000269602375809479,0.0030573546555429
0.135819626472357,0.135819626472357,0,0,0,0,0,0,0.135819626472357,0,0,0.135819626472357,0,0,0,0,0,0.271639252944714,0,0.135819626472357,0.00543955427912021,0.006462706348785,0.00457261020552044,0.0067329529201763,0.00499094819417906,0.00538006210870957,0.00294596589408838,0.00321477363023872,0.00236332919138317,0.00367568495948403,0.00146795438111976,0.00201607258069794
